titulo,autor_principal,rating,ratings_count,book_url,isbn10,isbn13,asin,source_name,source_file,row_number,autores,editorial,fecha_publicacion_raw,idioma_raw,categorias,precio,moneda,titulo_normalizado,idioma,fecha_publicacion,autores_list,categorias_list,anio_publicacion,longitud_titulo
Python for Finance: Analyze Big Financial Data,Yves Hilpisch,3.7800000000000002,245.0,https://www.goodreads.com/book/show/22221113-python-for-finance?from_search=true&from_srp=true&qid=0w5NlmxtNI&rank=21,1491945281,9781491945285,1491945281,goodreads,goodreads_books.json,21,,,,,,,,python for finance: analyze big financial data,,,[],[],,46
Big Data in Practice: How 45 Successful Companies Used Big Data Analytics to Deliver Extraordinary Results,Bernard Marr,3.41,295.0,https://www.goodreads.com/book/show/29909820-big-data-in-practice?from_search=true&from_srp=true&qid=0w5NlmxtNI&rank=22,,,B01DCOYDUS,goodreads,goodreads_books.json,22,,,,,,,,big data in practice: how 45 successful companies used big data analytics to deliver extraordinary results,,,[],[],,106
Big Data: A Very Short Introduction,Dawn E. Holmes,3.66,248.0,https://www.goodreads.com/book/show/34927488-big-data?from_search=true&from_srp=true&qid=0w5NlmxtNI&rank=23,0198779577,9780198779575,0198779577,goodreads,goodreads_books.json,23,,,,,,,,big data: a very short introduction,,,[],[],,35
Big Data: Does Size Matter?,Timandra Harkness,3.58,222.0,https://www.goodreads.com/book/show/26072972-big-data?from_search=true&from_srp=true&qid=0w5NlmxtNI&rank=24,1472920058,9781472920058,1472920058,goodreads,goodreads_books.json,24,,,,,,,,big data: does size matter?,,,[],[],,27
Spark: The Definitive Guide: Big Data Processing Made Simple,Bill Chambers,4.14,282.0,https://www.goodreads.com/book/show/38467996-spark?from_search=true&from_srp=true&qid=0w5NlmxtNI&rank=25,1491912170,9781491912171,B079P71JHY,goodreads,goodreads_books.json,25,,,,,,,,spark: the definitive guide: big data processing made simple,,,[],[],,60
Everybody Lies,Seth Stephens-Davidowitz,,,,0062390856,9780062390851,,googlebooks,googlebooks_books.csv,1,Seth Stephens-Davidowitz,Dey Street Books,2017-05-09,en,Social Science,,,everybody lies,en,2017-05-09,['Seth Stephens-Davidowitz'],['Social Science'],2017.0,14
Weapons of Math Destruction,Cathy O'Neil,,,,0553418815,9780553418811,,googlebooks,googlebooks_books.csv,2,Cathy O'Neil,Crown Publishing Group (NY),2016,en,Business & Economics,,,weapons of math destruction,en,2016-01-01,"[""Cathy O'Neil""]",['Business & Economics'],2016.0,27
Big Data,Viktor Mayer-Schönberger,,,,0544002695,9780544002692,,googlebooks,googlebooks_books.csv,3,Viktor Mayer-Schönberger|Kenneth Cukier,Houghton Mifflin Harcourt,2013,en,Business & Economics,,,big data,en,2013-01-01,['Viktor Mayer-Schönberger' 'Kenneth Cukier'],['Business & Economics'],2013.0,8
The Art of Invisibility,Kevin Mitnick,,,,0316380504,9780316380508,,googlebooks,googlebooks_books.csv,4,Kevin Mitnick,"Little, Brown",2017-02-14,en,Computers,,,the art of invisibility,en,2017-02-14,['Kevin Mitnick'],['Computers'],2017.0,23
Life After Google,George Gilder,,,,1621575764,9781621575764,,googlebooks,googlebooks_books.csv,5,George Gilder,Regnery Gateway,2018-07-17,en,Business & Economics,,,life after google,en,2018-07-17,['George Gilder'],['Business & Economics'],2018.0,17
